         ps       /tb_lut_tanh/r_in              
          delta           /tb_lut_tanh/r_out     
     137000  +4            00001010 00010011 
     138000  +1            00001011 00010011 
     138000  +4            00001011 00010101 
     139000  +1            00001100 00010101 
     139000  +4            00001100 00010111 
     140000  +1            00001101 00010111 
     140000  +4            00001101 00011000 
     141000  +1            00001110 00011000 
     141000  +4            00001110 00011010 
     142000  +1            00001111 00011010 
     142000  +4            00001111 00011100 
     143000  +1            00010000 00011100 
     143000  +4            00010000 00011101 
     144000  +1            00010001 00011101 
     144000  +4            00010001 00011111 
     145000  +1            00010010 00011111 
     145000  +4            00010010 00100000 
     146000  +1            00010011 00100000 
     146000  +4            00010011 00100010 
     147000  +1            00010100 00100010 
     147000  +4            00010100 00100011 
     148000  +1            00010101 00100011 
     148000  +4            00010101 00100101 
     149000  +1            00010110 00100101 
     149000  +4            00010110 00100110 
     150000  +1            00010111 00100110 
     150000  +4            00010111 00100111 
     151000  +1            00011000 00100111 
     151000  +4            00011000 00101000 
     152000  +1            00011001 00101000 
     152000  +4            00011001 00101010 
     153000  +1            00011010 00101010 
     153000  +4            00011010 00101011 
     154000  +1            00011011 00101011 
     154000  +4            00011011 00101100 
     155000  +1            00011100 00101100 
     155000  +4            00011100 00101101 
     156000  +1            00011101 00101101 
     156000  +4            00011101 00101110 
     157000  +1            00011110 00101110 
     157000  +4            00011110 00101111 
     158000  +1            00011111 00101111 
     158000  +4            00011111 00110000 
     159000  +1            00100000 00110000 
     159000  +4            00100000 00110001 
     160000  +1            00100001 00110001 
     160000  +4            00100001 00110010 
     161000  +1            00100010 00110010 
     161000  +4            00100010 00110011 
     162000  +1            00100011 00110011 
     162000  +4            00100011 00110100 
     163000  +1            00100100 00110100 
     164000  +1            00100101 00110100 
     164000  +4            00100101 00110101 
     165000  +1            00100110 00110101 
     165000  +4            00100110 00110110 
     166000  +1            00100111 00110110 
     167000  +1            00101000 00110110 
     167000  +4            00101000 00110111 
     168000  +1            00101001 00110111 
